topic1;question;category;
trastornos oftálmicos;cómo identifican síntomas inflamación orbitaria;29;
trastornos renales y del tracto urinario;cómo diagnostica obstrucción vías urinarias;33;
trastornos de los tejidos musculoesquelético y conectivo;cómo inyecta bolsa subacromial trastornos tejidos musculoesqueléticos conectivos;17;
trastornos neurológicos;cómo presentan aneurismas cerebrales cómo diagnosan;26;
traumatismos y envenenamientos;cómo diagnostican fracturas pélvicas;35;
trastornos oftálmicos;cómo presentan trastornos oftálmicos tipos cánceres pueden afectar retina;29;
trastornos del corazón y los vasos sanguíneos;cómo trata dolor torácico;18;
hematología y oncología;dame información introducción tratamiento sistémico cáncer;6;
trastornos inmunológicos;cómo presentan síntomas inmunodeficiencia común variable idcv;25;
geriatría;qué entiende evaluación adulto mayor problemas pueden presentarse cuidadores;4;
trastornos neurológicos;dame informaciones introductories herniación encefálica;26;
trastornos del corazón y los vasos sanguíneos;cómo trata endocarditis infecciosa;18;
hematología y oncología;cómo produce patología hemocromatosis hereditaria;6;
trastornos oftálmicos;cómo corrigen trastornos oftálmicos lentes correctoras gafas;29;
ginecología y obstetricia;cómo diagnostica embarazo multifetal;5;
trastornos dermatológicos;cómo presenta introducción tiña crural;21;
hematología y oncología;cómo trata síndrome mielodisplásico;6;
trastornos odontológicos;dame informaciones introducción alteraciones internas articulación temporomandibular;28;
trastornos neurológicos;cómo produce enfermedad huntington;26;
trastornos hormonales y metabólicos;dame información introducción trastornos hormonales metabólicos tumores carcinoides síndrome carcinoide;24;
trastornos psiquiátricos;cómo diagnostica trastorno despersonalización desrealización;31;
ginecología y obstetricia;cuáles factores riesgo complicaciones embarazo ginecología obstetricia infecciones transmisión sexual;5;
trastornos del corazón y los vasos sanguíneos;cómo producen muertes cardíacas súbitas deportistas;18;
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas polineuropatía;1
trastornos de los tejidos musculoesquelético y conectivo;dame información introducción síndrome túnel cubital;17;
infecciones;dame información introducción fiebre adultos debido infecciones;7;
trastornos dermatológicos;cómo presenta paroniquia crónica cómo diagnostica;21;
hematología y oncología;cómo presentan defectos vía glucolítica hematología oncología;6;
traumatismos y envenenamientos;cómo introduce tema picaduras araña envenenamientos traumas;35;
traumatismos y envenenamientos;cómo trata herida;35;
trastornos dermatológicos;cuáles conceptos clave dermatitis contacto;21;
trastornos nutricionales;cómo produce cuáles consecuencias deficiencia dependencia vitamina nutricional;27;
infecciones;cómo transmite infección enterovirus;7;
trastornos pulmonares;cómo hace toracostomía tubo catéter trastornos pulmonares;32;
trastornos oftálmicos;cuál introducción trombosis seno cavernoso oftalmológico;29;
trastornos neurológicos;cómo trata atrofia multisistémica;26;
trastornos otorrinolaringológicos;cuáles conceptos clave carcinoma epidermoide orofaríngeo trastornos otorrinolaringológicos trata;30;
trastornos del corazón y los vasos sanguíneos;pharmacological treatment coronary arteriopathy coronariopatía;18;
trastornos psiquiátricos;cómo presenta trastorno atracones psiquiátrico;31;
salud femenina;cómo desarrolla feto largo etapas desarrollo útero;10;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica sexta parálisis nervio craneal;1
trastornos otorrinolaringológicos;dame informaciones introducción trastornos otorrinolaringológicos pérdida audición;30;
trastornos psiquiátricos;cómo diagnostica trastorno ansiedad enfermedad;31;
trastornos pulmonares;dame información introducción toracoscopia cirugía toracoscópica asistida video trastornos pulmonares;32;
enfermedades cerebrales; medulares y nerviosas;qué síntomas mielopatía asociada htlv 1 enfermedad paraparesia espástica tropical ham tsp;1
trastornos renales y del tracto urinario;cómo diagnostica erección persistente priapismo isquémico relacionados trastornos renales tracto urinario;33;
trastornos urogenitales;cómo evaluar paciente urológico;34;
inmunología y trastornos alérgicos;cómo detectan anticuerpos sistema inmunitario relacionados enfermedades inmunológicas alérgicas;8;
infecciones;cómo diagnostican enfermedades infecciosas cuáles pruebas utilizadas identificar microorganismos;7;
trastornos hormonales y metabólicos;cómo diagnostica síndrome cushing;24;
trastornos psiquiátricos;podrías darme informaciones generales trastornos ansiedad;31;
ginecología y obstetricia;cómo realiza evaluación ginecológica general estudios complementarios necesitan ginecología obstetricia;5;
salud femenina;cuál introducción infecciones embarazo materia salud femenina;10;
trastornos otorrinolaringológicos;cómo drenan absceso periamigdalino qué contraindicaciones drenaje absceso periamigdalino;30;
salud femenina;cómo trata problemas espermatozoides;10;
trastornos endocrinológicos y metabólicos;cómo manejan complicaciones diabetes mellitus hépatoestenosis alcohólica nafld;22;
trastornos endocrinológicos y metabólicos;cómo presenta introducción alcalosis respiratoria contexto trastornos endocrinológicos metabólicos;22;
infecciones;cómo obtengo información vacuna haemophilus influenzae tipo b;7;
trastornos de los tejidos musculoesquelético y conectivo;cómo realiza artrocentesis muñeca trastornos tejidos musculoesqueléticos conectivos advertencias errores comunes deben tener cuenta;17;
geriatría;cómo abordan aspectos sociales geriatría;4;
salud femenina;cómo trata problemas ovulación relacionados infertilidad femenina;10;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostican tumores malignos primarios hueso tumor maligno células gigantes;17;
trastornos dermatológicos;dime dermatitis atópica eccema;21;
inmunología y trastornos alérgicos;cómo reconocen signos síntomas síndrome digeorge inmunología trastornos alérgicos;8;
ginecología y obstetricia;cómo reconocen signos síntomas preeclampsia eclampsia ginecología obstetricia;5;
trastornos psiquiátricos;cómo presenta trastorno dismórfico corporal;31;
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas encefalitis;1
trastornos nutricionales;dame informaciones introducción desnutrición;27;
ginecología y obstetricia;cómo evaluar secreción pezón;5;
traumatismos y envenenamientos;qué entiende fracturas cómo presentan traumatismos envenenamientos;35;
salud femenina;cuál introducción torsión anexial materia salud femenina;10;
enfermedades cerebrales; medulares y nerviosas;cómo refiere cerebro enfermedades cerebrales medulares nerviosas;1
trastornos nutricionales;cómo diagnostica deficiencia dependencia vitamina b6;27;
trastornos otorrinolaringológicos;cómo produce mareo vértigo;30;
traumatismos y envenenamientos;cómo trata fractura palma mano;35;
trastornos oftálmicos;cómo identifican trastornos oftálmicos síntomas oculares tinte azulado;29;
trastornos neurológicos;qué conceptos clave trastornos neurológicos absceso epidural intracraneano empiema subdural;26;
trastornos oftálmicos;cómo trata trastornos oftálmicos relacionados hogar hinchazón párpados;29;
traumatismos y envenenamientos;cómo presentan síntomas embolia gaseosa arterial;35;
trastornos del hígado y de la vesícula biliar;dame informaciones introducción hepatitis isquémica;19;
ginecología y obstetricia;cómo introduce pielonefritis posparto ginecología obstetricia;5;
trastornos otorrinolaringológicos;cómo presentan síntomas absceso retrofaríngeo;30;
trastornos neurológicos;cómo identifican signos síntomas vegetativo mínimamente consciente neurológico;26;
hematología y oncología;qué conceptos clave macroglobulinemia hematología oncología;6;
trastornos cardiovasculares;cómo causa disección aórtica;12;
enfermedades cerebrales; medulares y nerviosas;cómo trata esclerosis lateral amiotrófica enfermedades neuronas motoras;1
trastornos pulmonares;dame información introducción linfangioleiomiomatosis pulmonar;32;
trastornos de los huesos; articulaciones y músculos;cómo trata dolor articular afecta varias articulaciones casa;16
trastornos urogenitales;cómo realiza diagnóstico urogenital mediante imágenes gammagrafía radionúclidos;34;
trastornos hepáticos y biliares;cómo evalúa pronóstico hepatitis c crónica;23;
trastornos otorrinolaringológicos;cómo causan dolor garganta trastornos otorrinolaringológicos relacionados él;30;
trastornos urogenitales;cómo refiere generalmente cáncer testicular trastornos urogenitales relacionados él;34;
inmunología y trastornos alérgicos;cómo tratan trastornos inmunológicos proteínas fusión;8;
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas ataxia asociada cromosoma x frágil síndrome temblor ataxia asociado cromosoma x frágil;1
trastornos otorrinolaringológicos;cómo trata dermatitis canal auditivo;30;
infecciones;cómo presentan síntomas tifus murino;7;
trastornos pulmonares;cómo presentan síntomas signos neumoconiosis trabajadores carbón;32;
trastornos renales y del tracto urinario;cómo causan infecciones renales;33;
trastornos urogenitales;cómo realizan estudios complementarios trastornos urogenitales disfunción eréctil;34;
salud femenina;cuál introducción uso medicamentos lactancia materia salud femenina;10;
trastornos oftálmicos;dame información introducción trastornos oftálmicos neuropatías ópticas nutricionales tóxicas;29;
hematología y oncología;cómo refiere anemia enfermedad renal hematología oncología;6;
geriatría;qué antecedentes adulto mayor instrucciones deben darse consulta geriatría;4;
trastornos de los huesos; articulaciones y músculos;dame información introducción esclerosis sistémica;16
trastornos oftálmicos;cómo manejan trastornos oftálmicos destellos puntos negros flotantes moscas volantes ojos;29;
cuidados críticos;cómo inserta combitube tubo laríngeo king cuidados críticos cómo describe proceso paso paso;0;
trastornos de la piel;cómo conceptualizan trastornos piel relacionados aumento vello corporal;13;
fundamentos;podrías darme información introducción rehabilitación ceguera básicos;2;
trastornos del corazón y los vasos sanguíneos;cómo presentan trastornos sistema linfático;18;
trastornos endocrinológicos y metabólicos;cómo diagnostica gigantismo acromegalia;22;
infecciones;cómo presentan infecciones enterovirus cómo introduce tema;7;
trastornos pulmonares;cómo realiza mediastinoscopia mediastinotomía contexto trastornos pulmonares;32;
trastornos oftálmicos;cómo diagnostica obstrucción arteria central retina ramificaciones arterias retinianas oftálmicas;29;
trastornos cardiovasculares;cómo previene endocarditis infecciosa;12;
trastornos dermatológicos;cómo diagnostica lipoma;21;
trastornos otorrinolaringológicos;cuáles conceptos clave perforación traumática membrana timpánica campo trastornos otorrinolaringológicos;30;
trastornos neurológicos;cómo trata parálisis nervio facial;26;
trastornos pulmonares;cómo trata neumonitis neumonía aspirativa;32;
trastornos de la sangre;cómo obtengo información anemia células falciformes anemia drepanocítica drepanocitosis;15;
trastornos otorrinolaringológicos;cómo trata epistaxis anterior cauterio qué advertencias errores comunes tratar epistaxis anterior cauterio;30;
infecciones;cómo utiliza daptomicina embarazo lactancia tratar infecciones;7;
enfermedades cerebrales; medulares y nerviosas;cómo presenta debilidad enfermedades cerebrales medulares nerviosas;1
trastornos pulmonares;cómo trata mesotelioma pulmonar;32;
trastornos de la piel;cómo diagnostica erupción causada medicamentos;13;
trastornos urogenitales;cómo trata acidosis tubular renal;34;
trastornos nutricionales;dame información introducción trastornos nutricionales relacionados exceso vitamina c;27;
infecciones;cómo prevenen infecciones clamidia gonocócicas;7;
infecciones;cómo trata fiebre amarilla;7;
trastornos del corazón y los vasos sanguíneos;cómo introduce arteriopatía coronaria coronariopatía causas enfermedad coronaria;18;
infecciones;cómo trata varicela;7;
trastornos inmunológicos;cómo trata síndrome hiper ige;25;
trastornos cardiovasculares;cómo realiza diagnóstico trastornos cardiovasculares mediante estudios imagen cardíacos tc;12;
infecciones;cómo introduce vacuna rotavirus;7;
trastornos endocrinológicos y metabólicos;dame información introducción niveles elevados colesterol lipoproteína alta densidad hdl c trastornos endocrinológicos metabólicos;22;
trastornos oftálmicos;cómo presentan trastornos oftálmicos debidos obstrucción arteria central retina ramificaciones arterias retinianas;29;
infecciones;cómo trata difteria;7;
trastornos endocrinológicos y metabólicos;cómo presentan síntomas signos hiponatremia;22;
trastornos pulmonares;cómo miden gases sangre arterial diagnosticar trastornos pulmonares;32;
ginecología y obstetricia;cómo realiza examen médico víctima violación cuáles signos síntomas pueden observar víctima violación;5;
trastornos de los huesos; articulaciones y músculos;cómo presenta osteomielitis;16
salud femenina;cómo trata menopausia terapia hormonal;10;
trastornos psiquiátricos;cómo reconocen síntomas personalidad límite;31;
trastornos cardiovasculares;cómo diagnostica fístula arteriovenosa;12;
geriatría;qué deben saber medidas preventivas generales geriatría;4;
trastornos oftálmicos;cómo tratan cataratas;29;
trastornos inmunológicos;cómo presenta introducción inmunodeficiencia combinada grave icg;25;
trastornos dermatológicos;cómo diagnostica dermatitis manos pies;21;
fármacos o sustancias;qué precauciones deben tomarse tomar medicamentos receta médica cómo interactúan diferentes medicamentos sí;3;
trastornos odontológicos;cómo reducen luxación mandibular cuidados posteriores trastornos odontológicos;28;
infecciones;cómo diagnostica poliomielitis paralítica;7;
trastornos de la salud mental;cómo obtengo información anorexia nerviosa;14;
trastornos cardiovasculares;cuáles conceptos clave relacionados palpitaciones trastornos cardiovasculares;12;
trastornos urogenitales;cómo trata epididimitis;34;
fármacos o sustancias;cómo obtengo información alergias medicamentos sustancias;3;
geriatría;cómo atender población geriátrica mediante atención residencial comunidades dedicadas atención salud;4;
trastornos endocrinológicos y metabólicos;cómo diagnostican síndromes deficiencia poliglandular;22;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica fibrilación auricular aleteo auricular;18;
trastornos del pulmón y las vías respiratorias;cómo introduce neumonía qué causas tiene;20;
traumatismos y envenenamientos;cómo diagnostica intoxicación hierro;35;
traumatismos y envenenamientos;cómo producen lesiones radiación fuentes exposición misma;35;
trastornos bucales y dentales;cómo conceptuan conceptos clave secadad boca trastornos relacionan ella;11;
trastornos neurológicos;cómo abordar paciente trastorno sueño vigilia neurológico;26;
trastornos de los tejidos musculoesquelético y conectivo;cómo introduce esclerosis sistémica;17;
trastornos pulmonares;cómo refieren trastornos pulmonares relación apnea sueño central fuentes generales pueden consultar;32;
hematología y oncología;cómo produce mielofibrosis primaria;6;
geriatría;cómo manejan especialmente categorías medicamentos deben controlarse ancianos relación geriatría antipsicóticos;4;
cuidados críticos;cómo cuidan pacientes colocación canulación vena yugular interna guiada ultrasonido cómo cuidan pacientes después colocación canulación vena yugular interna guiada ultrasonido;0;
trastornos hormonales y metabólicos;dame información introducción hipófisis;24;
traumatismos y envenenamientos;cómo identifican síntomas hematórax;35;
infecciones;cómo presenta introducción fiebres hemorrágicas infecciosas;7;
trastornos oftálmicos;cómo trata degeneración macular asociada edad dmae;29;
trastornos urogenitales;cuáles conceptos clave enfermedad cambios mínimos sistema urogenital;34;
trastornos endocrinológicos y metabólicos;cómo trata hipocalcemia;22;
trastornos neurológicos;cuáles conceptos clave distonías neurológicas;26;
trastornos oftálmicos;cómo evaluar proptosis;29;
trastornos del corazón y los vasos sanguíneos;cómo realiza prueba basculación detectar problemas corazón vasos sanguíneos;18;
ginecología y obstetricia;cómo trata sangrado vaginal segunda mitad embarazo;5;
salud femenina;qué cólicos menstruales conceptos clave deben tener cuenta cuidado salud femenina;10;
trastornos cardiovasculares;cómo trata hipotensión ortostática;12;
trastornos de la piel;podrías darme información introducción hipersensibilidad trastornos cutáneos reactivos;13;
enfermedades cerebrales; medulares y nerviosas;cómo miden medidas seguridad apoyo caso encefalopatía traumática crónica etc;1
trastornos del pulmón y las vías respiratorias;cómo trata tos adultos;20;
trastornos endocrinológicos y metabólicos;cuáles conceptos clave relacionados hipoglucemia trastornos endocrinológicos metabólicos;22;
trastornos odontológicos;cómo causa dolor dental;28;
trastornos de la sangre;cómo diagnositan trastornos sangre causan hematomas sangrado púrpura hipergammaglobulinémica;15;
trastornos otorrinolaringológicos;cómo presenta rinitis alérgica trastornos otorrinolaringológicos;30;
trastornos del pulmón y las vías respiratorias;dame información introducción síndrome pulmón riñón;20;
trastornos endocrinológicos y metabólicos;cómo produce cetoacidosis diabética;22;
trastornos urogenitales;dame información introducción síndrome fanconi trastornos urogenitales;34;
trastornos de la sangre;cómo causan linfomas hodgkinianos;15;
infecciones;cómo trata infección chancroide;7;
trastornos de los tejidos musculoesquelético y conectivo;cómo conceptuan trastornos tejidos musculoesqueléticos conectivos vasculitis cutánea;17;
trastornos psiquiátricos;dame información introducción esquizofrenia;31;
trastornos de la sangre;cómo diagnositan trastornos sangre causan hematomas sangrado crioglobulinemia;15;
cuidados críticos;cómo realiza cricotirotomía percutánea cuidados críticos;0;
trastornos urogenitales;cómo manejan trastornos urogenitales contexto terapia reemplazo renal largo plazo riesgos representa toxicidad aluminio;34;
trastornos otorrinolaringológicos;cómo diagnostica pérdida audición súbita hogar trastornos otorrinolaringológicos;30;
trastornos de los tejidos musculoesquelético y conectivo;cómo realiza artrocentesis codo anatomía relevante ello;17;
salud de las personas de edad avanzada;cómo cuidan ancianos parte profesionales salud auxiliares médicos;9;
trastornos otorrinolaringológicos;cómo presenta introducción trastornos otorrinolaringológicos congestión nasal rinorrea;30;
trastornos urogenitales;cómo realiza cateterismo uretral varón descripción paso paso;34;
trastornos nutricionales;cómo presenta dependencia deficiencia vitamina b6 nutricional;27;
trastornos neurológicos;cómo trata hemorragia subaracnoidea;26;
salud femenina;cómo causan vaginosis bacteriana;10;
trastornos de los tejidos musculoesquelético y conectivo;cómo trata fascitis eosinofílica;17;
trastornos de la salud mental;cómo atiende salud mental trastornos uso sustancias recreativas ilegales;14;
enfermedades cerebrales; medulares y nerviosas;cómo presentan calambres musculares enfermedades cerebrales medulares nerviosas;1
trastornos urogenitales;dame informaciones introductivas ateroembolia renal;34;
hematología y oncología;dame información enfermedad von willebrand campo hematología oncología;6;
trastornos oftálmicos;cómo reconocen signos síntomas glaucoma primario ángulo abierto;29;
trastornos del hígado y de la vesícula biliar;dame informaciones introducción adenoma hepatocelular;19;
trastornos hepáticos y biliares;cuál introducción hepatopatía congestiva trastornos hepáticos biliares;23;
trastornos dermatológicos;cómo diagnositan deformaciones distrofias uñas relacionadas melanoniquia estriada;21;
trastornos dermatológicos;cómo trata absceso cutáneo;21;
trastornos pulmonares;dame informaciones introductivas mediastinitis;32;
trastornos nutricionales;dame información introducción deficiencia selenio;27;
salud de las personas de edad avanzada;cómo manejan cambios corporales relacionados envejecimiento afectan aparato reproductor personas mayores;9;
hematología y oncología;dame información linfoma hodgkin;6;
trastornos urogenitales;qué infecciones urinarias bacterianas conceptos clave deben tener cuenta trastornos urogenitales;34;
trastornos hormonales y metabólicos;cómo diagnostica hipofosfatemia crónica;24;
trastornos de la sangre;cómo presentan síntomas anemia;15;
trastornos hepáticos y biliares;cómo refiere generalmente coledocolitiasis colangitis trastornos hepáticos biliares;23;
trastornos oftálmicos;cómo trata neuropatía óptica compresiva;29;
trastornos de los tejidos musculoesquelético y conectivo;cómo trata granulomatosis poliangeítis;17;
trastornos de la piel;cómo presentan manchas vino oporto contexto trastornos piel;13;
salud femenina;cómo diagnostican trastornos autoinmunitarios embarazo relacionados artritis reumatoide;10;
hematología y oncología;cómo basa celular molecularmente cáncer hematología oncología conoce cinética celular;6;
trastornos pulmonares;cómo trata neumomediastino;32;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica meningitis vírica;1
trastornos dermatológicos;cómo diagnositan acné vulgar acné inflamatoria;21;
traumatismos y envenenamientos;cómo trata lesión vejiga debido traumas envenenamientos;35;
traumatismos y envenenamientos;dame informaciones introductories intoxicación monóxido carbono;35;
trastornos psiquiátricos;cómo trata trastorno ideas delirantes;31;
infecciones;cómo selecciona literatura médica estudiar giardiasis;7;
infecciones;cuáles factores riesgo infecciones neumocócicas;7;
ginecología y obstetricia;dame informaciones introducción hipertensión embarazo;5;
ginecología y obstetricia;dame informaciones introducción embarazo postérmino ginecología obstetricia;5;
trastornos renales y del tracto urinario;cómo previene trata infección renal;33;
traumatismos y envenenamientos;cómo trata lesión deportiva;35;
trastornos del corazón y los vasos sanguíneos;dame información introducción dolor torácico;18;
trastornos de los tejidos musculoesquelético y conectivo;cómo presenta estenosis espinal lumbar;17;
trastornos del pulmón y las vías respiratorias;cómo diagnostica neumonía;20;
trastornos urogenitales;dame informaciones introducción trastornos urogenitales polaquiuria;34;
trastornos odontológicos;cómo diagnostica gingivitis;28;
trastornos de los tejidos musculoesquelético y conectivo;cómo presenta enfermedad freiberg;17;
trastornos endocrinológicos y metabólicos;cuáles conceptos clave amiloidosis relación trastornos endocrinológicos metabólicos;22;
trastornos pulmonares;cómo produce síndrome pulmonar renal;32;
enfermedades cerebrales; medulares y nerviosas;dame información introducción enfermedades cerebrales medulares nerviosas ronquidos;1
ginecología y obstetricia;cuáles conceptos clave anemia embarazo ginecología obstetricia;5;
trastornos urogenitales;cómo trata ateroembolia renal;34;
trastornos de la salud mental;cómo produce abstinencia trastornos uso sustancias;14;
trastornos de la piel;cómo obtengo información penfigoide ampolloso;13;
trastornos urogenitales;dame información glomerulonefritis membranoproliferativa;34;
salud femenina;qué factores riesgo placenta acreta placenta adherida salud femenina;10;
trastornos psiquiátricos;cómo reconocen signos síntomas trastornos adaptación psiquiátricos;31;
trastornos inmunológicos;cómo identifican trastornos autoinmunitarios;25;
salud femenina;cómo funcionan anticonceptivos barrera espermicidas salud femenina;10;
salud femenina;cómo introduce función disfunción sexual mujer causas hay;10;
trastornos de la piel;cómo presentan síntomas pénfigo vulgar;13;
trastornos del corazón y los vasos sanguíneos;cómo sintió regurgitación mitral trastornos cardíacos vasculares asociados;18;
trastornos hepáticos y biliares;cuáles conceptos clave hepatopatía alcohólica;23;
trastornos odontológicos;cómo hacer bloqueo nervio mentoniano trastornos odontológicos consideraciones adicionales deben tenerse cuenta;28;
trastornos pulmonares;cuáles conceptos clave asbestosis pulmonar;32;
trastornos del corazón y los vasos sanguíneos;cómo trata oclusión rama aorta abdominal;18;
infecciones;cómo diagnostica resfriado común;7;
trastornos de los huesos; articulaciones y músculos;cómo identifican síntomas artropatía neurógena;16
trastornos oftálmicos;cómo diagnostica celulitis preseptal;29;
inmunología y trastornos alérgicos;qué entiende trastornos alérgicos atópicos cómo prevenen;8;
ginecología y obstetricia;cómo produce sangrado uterino anormal ginecología obstetricia;5;
trastornos del corazón y los vasos sanguíneos;cómo detecta insuficiencia cardíaca qué tipos hay;18;
trastornos pulmonares;cómo produce embolia pulmonar;32;
trastornos de los tejidos musculoesquelético y conectivo;qué entiende generalidades vasculitis causa causa enfermedad;17;
trastornos pulmonares;cómo hacer toracentesis trastornos pulmonares;32;
enfermedades cerebrales; medulares y nerviosas;cómo identifica lesión lóbulo temporal causa deficiencia cerebral;1
trastornos oftálmicos;cómo diagnostica queratopatía ampollar;29;
fundamentos;cómo abordan trastornos rehabilitación pie caído fundamentos;2;
trastornos de los huesos; articulaciones y músculos;cómo diagnostican arteritis células gigantes;16
trastornos psiquiátricos;qué entiende uso programado medicamentos contexto trastornos psiquiátricos;31;
hematología y oncología;cómo produce hemoglobinuria paroxística nocturna;6;
enfermedades cerebrales; medulares y nerviosas;cómo manejan enfermedades cerebrales medulares nerviosas hogar alguien sufre dolor crónico;1
ginecología y obstetricia;podrías darme información infertilidad general;5;
trastornos dermatológicos;cómo presenta introducción milaria;21;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostican ciertos tumores cerebrales específicos meningiomas;1
ginecología y obstetricia;cómo funciona gel anticonceptivo regulador ph ginecología obstetricia cómo comparan anticonceptivos pericoitales barrera;5;
trastornos del pulmón y las vías respiratorias;dame información tumores vías respiratorias;20;
trastornos oftálmicos;cómo reconocen síntomas signos chalación orzuelo;29;
enfermedades cerebrales; medulares y nerviosas;cómo realiza exploración neurológica enfermedades cerebrales medulares nerviosas especialmente relación nervios sensitivos;1
trastornos odontológicos;dame informaciones introducción trastornos odontológicos halitosis;28;
trastornos neurológicos;cómo trata amnesia global transitoria;26;
trastornos de los tejidos musculoesquelético y conectivo;cómo reconocen síntomas signos artrosis;17;
enfermedades cerebrales; medulares y nerviosas;dame información introducción parálisis supranuclear progresiva;1
salud femenina;cómo diagnostica hipertensión embarazo;10;
trastornos de los huesos; articulaciones y músculos;cómo trata artrosis;16
traumatismos y envenenamientos;cómo identifican síntomas hipotermia;35;
trastornos de los tejidos musculoesquelético y conectivo;cómo evaluar dolor cuello espalda;17;
trastornos de la piel;cómo previene aparición verrugas;13;
trastornos endocrinológicos y metabólicos;cómo trata virilismo suprarrenal;22;
hematología y oncología;cómo produce coagulación intravascular diseminada;6;
ginecología y obstetricia;cuáles conceptos clave insuficiencia renal embarazo ginecología obstetricia;5;
trastornos hormonales y metabólicos;cómo presentan síntomas hipofosfatemia;24;
trastornos de la piel;cómo tratan abscesos cutáneos;13;
trastornos neurológicos;cuáles conceptos clave relacionados tos trastornos neurológicos;26;
trastornos neurológicos;cómo diagnostica enfermedad creutzfeldtjakob;26;
trastornos del corazón y los vasos sanguíneos;dame informaciones introductivas trombosis venosa profunda;18;
infecciones;cómo preven infecciones virus ébola virus marburg;7;
trastornos de la piel;cómo diagnostica melasma;13;
hematología y oncología;cómo diagnostica anemia deficiencia hierro;6;
trastornos cardiovasculares;dame informaciones introductivas cor pulmonale;12;
hematología y oncología;cómo refiere generalmente trombocitopenia secuestro esplénico hematología oncología;6;
traumatismos y envenenamientos;cómo diagnostica golpe calor qué pronóstico golpe calor;35;
trastornos otorrinolaringológicos;cómo causan supuración oído causas secreción oído;30;
trastornos de los tejidos musculoesquelético y conectivo;cómo realiza artrocentesis hombro;17;
trastornos del pulmón y las vías respiratorias;cómo diagnostica sarcoidosis pulmonar;20;
infecciones;cómo trata infección actinomicosis;7;
trastornos cardiovasculares;cómo diagnostica miocardiopatía debida mutaciones gen lamina c;12;
salud femenina;cómo diagnostican problemas ovulación relacionados infertilidad femenina;10;
geriatría;cómo manejan categorías medicamentos requieren especial atención geriatría;4;
ginecología y obstetricia;cómo detectan síntomas signos insuficiencia cervical ginecología obstetricia;5;
trastornos neurológicos;cómo presentan síntomas hemorragia intracerebral;26;
trastornos de la sangre;cómo trata talasemia;15;
fundamentos;podrías darme información introducción fundamentos consentimiento informado;2;
trastornos de los tejidos musculoesquelético y conectivo;cómo detectan síntomas signos artritis psoriásica;17;
ginecología y obstetricia;cómo evaluar trastornos mamarios;5;
trastornos de la piel;cómo realiza diagnóstico trastornos cutáneos;13;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica poliangitis microscópica;16
trastornos endocrinológicos y metabólicos;cómo causa hipopotasemia;22;
salud femenina;cómo diagnostica adenomiosis uterina;10;
salud femenina;cómo identifican factores riesgo embolia líquido amniótico contexto salud femenina;10;
infecciones;cómo presentan infecciones virales cómo defienden virus;7;
ginecología y obstetricia;cómo usan medicamentos embarazo ginecología obstetricia efectos pueden tener;5;
trastornos neurológicos;cómo trata amnesia;26;
fármacos o sustancias;cómo determinan factores riesgo reacciones adversas medicamentos edad avanzada;3;
trastornos hepáticos y biliares;cómo obtengo información hepatitis trastornos hepáticos biliares;23;
trastornos endocrinológicos y metabólicos;cómo trata depleción volumen trastornos endocrinológicos metabólicos;22;
trastornos dermatológicos;cómo reconocen síntomas epidermólisis ampollosa adquirida;21;
trastornos hepáticos y biliares;cómo diagnostica encefalopatía portosistémica;23;
trastornos dermatológicos;cómo refiere carcinoma epidermoide cuanto trastornos dermatológicos;21;
trastornos nutricionales;cómo preparan fórmulas nutrición enteral sonda;27;
hematología y oncología;dame información introducción síndromes paraneoplásicos hematología oncología;6;
trastornos cardiovasculares;dame información enfermedad arterial periférica introducción;12;
trastornos de la sangre;cómo presenta introducción hemofilia;15;
geriatría;cómo evaluar función motora conductor anciano;4;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica espasmo hemifacial;1
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas meningitis infecciosa;1
trastornos del hígado y de la vesícula biliar;cómo trata granulomas hepáticos;19;
trastornos urogenitales;cómo diagnostica uropatía obstructiva;34;
trastornos oftálmicos;cómo diagnostica uveítis infecciosa causada virus citomegalovirus;29;
trastornos hormonales y metabólicos;cómo causan dislipidemias;24;
trastornos de los huesos; articulaciones y músculos;cómo diagnositan quistes óseos quiste óseo aneurismático;16
trastornos bucales y dentales;qué trastornos bucales dentales cómo relacionan sequedad boca personas mayores;11;
traumatismos y envenenamientos;cómo trata ahogamiento;35;
trastornos de los huesos; articulaciones y músculos;cómo presenta estenosis cervical raquídea cómo diagnostica;16
trastornos del pulmón y las vías respiratorias;cómo trata hipertensión portopulmonar;20;
traumatismos y envenenamientos;cómo diagnostica ahogamiento;35;
trastornos neurológicos;cómo evaluo nervios craneales ix x;26;
trastornos de los tejidos musculoesquelético y conectivo;cómo inyecta bolsa subacromial cuáles indicaciones;17;
trastornos oftálmicos;cómo causa ojo rojo;29;
trastornos cardiovasculares;dame informaciones introductivas aleteo auricular;12;
